,0,1
0,cx,cy
205,969.5,625.0
206,970.5,625.0
207,969.5,625.0
208,970.5,625.0
209,969.5,625.0
210,970.5,625.0
211,969.5,625.0
212,970.5,625.0
213,969.5,625.0
214,970.5,625.0
215,969.5,625.0
216,970.5,625.0
217,969.5,625.0
218,970.5,625.0
219,969.5,625.0
220,970.5,625.0
221,969.5,625.0
222,970.5,625.0
223,969.5,625.0
224,970.5,625.0
225,969.5,625.0
226,970.5,625.0
227,969.5,625.0
228,970.5,625.0
229,969.5,625.0
230,970.5,625.0
231,969.5,625.0
232,970.5,625.0
233,969.5,625.0
234,970.5,625.0
235,969.5,625.0
236,970.5,625.0
237,969.5,625.0
238,970.5,625.0
239,969.5,625.0
240,970.5,625.0
241,969.5,625.0
242,970.5,625.0
243,969.5,625.0
244,970.5,625.0
245,969.5,625.0
246,970.5,625.0
247,969.5,625.0
248,970.5,625.0
249,969.5,625.0
250,970.5,625.0
251,969.5,625.0
252,970.5,625.0
253,969.5,625.0
254,970.5,625.0
255,969.5,625.0
256,970.5,625.0
257,969.5,625.0
258,970.5,625.0
259,969.5,625.0
260,970.5,625.0
261,969.5,625.0
262,970.5,625.0
263,971.5,625.0
264,980.5,625.0
265,989.5,625.0
266,1002.5,625.0
267,1011.5,625.0
268,1024.5,625.0
269,1035.5,625.0
270,1048.5,625.0
271,1059.5,625.0
272,1070.5,625.0
273,1077.5,627.0
274,1080.5,627.0
275,1083.5,627.0
276,1086.5,627.0
277,1085.5,629.0
278,1086.5,627.0
279,1085.5,627.0
280,1086.5,627.0
281,1085.5,627.0
282,1086.5,627.0
283,1085.5,627.0
284,1086.5,627.0
285,1085.5,627.0
286,1086.5,627.0
287,1085.5,627.0
288,1086.5,627.0
289,1085.5,627.0
290,1086.5,627.0
291,1085.5,627.0
292,1086.5,627.0
293,1085.5,627.0
294,1086.5,627.0
295,1085.5,627.0
296,1086.5,627.0
297,1085.5,627.0
298,1086.5,627.0
299,1085.5,627.0
300,1086.5,627.0
301,1085.5,627.0
302,1086.5,627.0
303,1085.5,627.0
304,1086.5,627.0
305,1085.5,627.0
306,1086.5,627.0
307,1085.5,627.0
308,1086.5,627.0
309,1085.5,627.0
310,1086.5,627.0
311,1085.5,627.0
312,1086.5,627.0
313,1085.5,627.0
314,1086.5,627.0
315,1085.5,627.0
316,1086.5,627.0
317,1085.5,627.0
318,1086.5,627.0
319,1085.5,627.0
320,1086.5,627.0
321,1085.5,627.0
322,1086.5,627.0
323,1085.5,627.0
324,1086.5,627.0
325,1085.5,627.0
326,1086.5,627.0
327,1085.5,627.0
328,1086.5,627.0
329,1085.5,627.0
330,1086.5,627.0
331,1085.5,627.0
332,1086.5,627.0
333,1085.5,627.0
334,1086.5,627.0
335,1085.5,627.0
336,1086.5,627.0
337,1089.5,627.0
338,1100.5,627.0
